team_id,team_name,team_short_name,team_abbreviation,competitions,division,team_color,team_color2,team_color3,team_color4,team_color5,team_color6,team_color7,,,,team_color_alt,,team_logo,team_wordmark
NWMWlBK5lz,FC Cincinnati,Cincinnati,CIN,uslc,,#E35205,#0032A0,#FFFFFF,,,,,,,,,,,
ljqE94Vqx0,North Texas SC,North Texas,NTX,usl1,,#00205B,#BF0D3E,#FFFFFF,#C1C6C8,,,,,,,,,,
gpMO1Pyqzy,New England Revolution II,New England,NER,usl1,,#0C2340,#C8102E,#FFFFFF,,,,,,,,,,,
N6MmWV0qEG,Vancouver Whitecaps FC 2,Vancouver,VAN,uslc,,#13294B,#8BB8E8,#FFFFFF,#97999B,,,,,,,#868787,,,
KXMe8Z2Q64,Tacoma Defiance,Tacoma,TAC,uslc,,#010101,#658D1B,#FFFFFF,#236192,#B1B3B3,#545859,,,,,,,,
KPqjwN4Q6v,Philadelphia Union II,Philadelphia,PHI,uslc,,#051C2C,#DFD1A7,#FFFFFF,#418FDE,,,,,,,,,,
KPqj6bBq6v,Rochester New York FC,Rochester,ROC,uslc,,#006341,#C99700,#FFFFFF,#7C878E,#C1C6C8,#010101,,,,,#89764B,,,
BLMv6m3Mxe,Real Monarchs,Real Monarchs,SLC,uslc,,#9D2235,#001E62,#FFFFFF,#FFB81C,,,,,,,,,,
9Yqdwg85vJ,New York Red Bulls II,New York,NYRB,uslc,,#C5003E,#002554,#FFFFFF,#FFC72C,#C1C6C8,,,,,,#8D9093,,,
4wM4E4d5jB,Ventura County FC,Ventura County,VCFC,uslc,,#13294B,#004B87,#FFFFFF,#EAAA00,#FFCD00,#DCDFE4,,,,,,,,
2vQ14GKqrA,Sporting Kansas City II,Kansas City,SKC,uslc,,#051C2C,#E3E3E3,#FFFFFF, #003DA5,#E35205,,,,,,,,,
kRQaW3L5KZ,Orlando City B,Orlando City,ORL,uslc,,#5F249F,#EED484,#FFFFFF,,,,,,,,,,,
